model,coupling,field,temperature,runtime_seconds,runtime_ratio_vs_model_1,transient_rmse_vs_model_1,steady_state_bias_vs_model_1,convergence_time,convergence_time_diff_vs_model_1,variance_mismatch_vs_model_1
model_5,0.1,-0.4,2.0,0.00023785014636814596,8.431428316749312,0.012737118248960068,-0.014242496300900243,1,0,5.395382624992201e-11
model_1,0.1,0.0,0.6,3.22799663990736e-05,1.0,0.0,0.0,1,0.0,0.0
model_2,0.1,0.0,0.6,6.07500784099102e-05,1.8819746482652369,0.005002275261392276,-8.703522495305078e-10,1,0,0.00010202048378691553
model_3,0.1,0.0,0.6,0.0008398099802434445,26.016445304216493,0.014525236369255958,-3.888390006144703e-06,1,0,0.0008997374648052712
model_4,0.1,0.0,0.6,0.1401989900041372,4343.219824669977,0.02040427572531265,-4.996961937342965e-05,1,0,0.0018910985394430555
model_5,0.1,0.0,0.6,0.00029413006268441677,9.111845379518673,0.0023355435457729345,-1.9245790146745396e-12,1,0,2.9657402844289706e-05
model_1,0.1,0.0,1.2999999999999998,3.148997202515602e-05,1.0,0.0,0.0,1,0.0,0.0
model_2,0.1,0.0,1.2999999999999998,4.878998734056949e-05,1.5493817302090078,0.002296648108790883,-1.6805421252128225e-12,1,0,2.156232375595326e-05
model_3,0.1,0.0,1.2999999999999998,0.0010680001229047774,33.9155627719071,0.013193295497275189,-1.8674734647783352e-06,1,0,0.0007263741102701541
model_4,0.1,0.0,1.2999999999999998,0.1492185198701918,4738.604396059399,0.014477168588327156,-3.934178555265093e-06,1,0,0.0009076268539608696
model_5,0.1,0.0,1.2999999999999998,0.0003244000021368265,10.301692293587207,0.0015734036322881176,-8.069594375431027e-14,1,0,1.3460760530345836e-05
model_1,0.1,0.0,2.0,3.7909997627139094e-05,1.0,0.0,0.0,1,0.0,0.0
model_2,0.1,0.0,2.0,7.796008139848709e-05,2.0564517614919833,0.001491602202191439,-5.2550556498924074e-14,1,0,9.098996592434004e-06
model_3,0.1,0.0,2.0,0.0011611199472099543,30.6283307804464,0.012817806118787398,-1.4962036439068891e-06,1,0,0.0006809547664842087
model_4,0.1,0.0,2.0,0.1795685299206525,4736.706440522238,0.013026594076770507,-1.7316956612914127e-06,1,0,0.0007216089019970874
