model,coupling,field,temperature,seed,initial_up_count,initial_up_fraction,t,m,runtime_seconds
model_5,0.1,-0.4,0.6,1,3,0.5,10,-0.5198936827706093,0.00021150009706616402
model_1,0.1,-0.4,0.6,2,2,0.3333333333333333,0,-0.3333333333333333,2.219993621110916e-05
model_1,0.1,-0.4,0.6,2,2,0.3333333333333333,1,-0.5827829453479102,2.219993621110916e-05
model_1,0.1,-0.4,0.6,2,2,0.3333333333333333,2,-0.5827829453479102,2.219993621110916e-05
model_1,0.1,-0.4,0.6,2,2,0.3333333333333333,3,-0.5827829453479102,2.219993621110916e-05
model_1,0.1,-0.4,0.6,2,2,0.3333333333333333,4,-0.5827829453479102,2.219993621110916e-05
model_1,0.1,-0.4,0.6,2,2,0.3333333333333333,5,-0.5827829453479102,2.219993621110916e-05
model_1,0.1,-0.4,0.6,2,2,0.3333333333333333,6,-0.5827829453479102,2.219993621110916e-05
model_1,0.1,-0.4,0.6,2,2,0.3333333333333333,7,-0.5827829453479102,2.219993621110916e-05
model_1,0.1,-0.4,0.6,2,2,0.3333333333333333,8,-0.5827829453479102,2.219993621110916e-05
model_1,0.1,-0.4,0.6,2,2,0.3333333333333333,9,-0.5827829453479102,2.219993621110916e-05
model_1,0.1,-0.4,0.6,2,2,0.3333333333333333,10,-0.5827829453479102,2.219993621110916e-05
model_2,0.1,-0.4,0.6,2,2,0.3333333333333333,0,-0.3333333333333333,5.079992115497589e-05
model_2,0.1,-0.4,0.6,2,2,0.3333333333333333,1,-0.4474292946202086,5.079992115497589e-05
model_2,0.1,-0.4,0.6,2,2,0.3333333333333333,2,-0.45751098591479317,5.079992115497589e-05
model_2,0.1,-0.4,0.6,2,2,0.3333333333333333,3,-0.45839624617821045,5.079992115497589e-05
model_2,0.1,-0.4,0.6,2,2,0.3333333333333333,4,-0.45847393635001144,5.079992115497589e-05
model_2,0.1,-0.4,0.6,2,2,0.3333333333333333,5,-0.4584807540814571,5.079992115497589e-05
